address,message_count,project_count,oapps_count,active_day_count,first_date,last_date,total_swapped_usd,swap_count,average_swapped_usd
0x864738258592505e652776f625de9fbe354ed4e1,34,11,16,20,2023-04-30,2024-04-28,2976.23742378,12,248.019785315
0xbb6db3b68f749b5f0a922fc2531daf45894b54fa,48,11,17,22,2023-04-30,2024-04-28,3005.7156955360006,12,250.4763079613334
0x3f2a063b823df9ed22d9727b80a9b1967f38d2bc,40,10,17,20,2023-04-30,2024-04-27,2805.1107215760003,12,233.75922679800001
0x7bcb2a9b0da5f95e4d5c07f68bc112610cda469d,55,10,18,19,2023-04-30,2024-04-27,3521.26095952,16,220.07880997
0x943006fa53254328fd48dbbe34393d58ce7014f8,41,10,18,21,2023-04-30,2024-04-26,2432.455993598,11,221.13236305436365
0x527b4cdd2e631a8a9efd8cded81f2e43d2854277,37,10,17,23,2023-04-30,2024-04-28,3253.4447300039997,13,250.2649792310769
0x158d11b6d9e913c137390f346b32fe11a3168d5b,49,11,17,21,2023-04-30,2024-04-28,2905.0956590250003,13,223.46889684807695
0xb2d01f6e0a5aeae6935ad4b0e358f62bc944f24a,43,11,17,24,2023-04-30,2024-04-28,3110.765331345,14,222.1975236675
0xfd7a62563e6db7344268ed622390f9de1b7622a0,38,10,17,20,2023-04-30,2024-04-27,3097.829482752,13,238.29457559630768
0x6d83e10709d74c095284b96d0430594641d5b13b,48,12,19,20,2023-04-30,2024-04-27,2880.9282744659995,13,221.60986726661534
0x7346779da41415d38b35fe73a15f501fb922bd54,36,11,17,20,2023-04-30,2024-04-25,2606.8933997999998,12,217.24111664999998
0xc54513e7c601c27ccd4e9a37c800a11f55831de7,50,11,19,18,2023-04-30,2024-04-28,2950.6061168750007,13,226.96970129807698
0x9a46ee0040c1f5247d2f9b2ff4d5e7b371cd9b8f,54,10,16,17,2023-04-30,2024-04-27,3366.6275479140004,16,210.41422174462502
0x9d3ea32abecfe2789b03f26b3a40ed25dab08c39,50,10,16,22,2023-04-30,2024-04-27,2399.664535268,11,218.15132138799999
0xda3241a67c63315664c77cf5f69753ef349eb551,60,11,19,21,2023-04-30,2024-04-28,2892.389611512,13,222.49150857784616
0x0e68263a05e18359ae67ec97c058b84c2f5fe363,50,11,17,21,2023-04-30,2024-04-26,2739.575833063,12,228.29798608858334
0x50e7219595b93147846cd87fd7767389706837b8,52,10,16,23,2023-04-30,2024-04-28,2907.230534058,12,242.26921117150002
0x9e6e3d23725e2d532dbd06aa987cdd694abbcd01,38,11,19,21,2023-04-30,2024-04-26,2705.336533607,12,225.44471113391668
0x2818ed18d1e9f5905fba572eb262e94d797d7419,34,10,15,21,2023-04-30,2024-04-28,2253.759757309,10,225.37597573090002
0x8af0ce36106e78879915da10057eb5e6f622285b,33,11,18,21,2023-04-30,2024-04-26,2703.0721870319994,12,225.25601558599996
0x2639ac343fe74b17c12d39e23bc646f9511d6bfa,48,11,17,22,2023-04-30,2024-04-28,2607.3855192660003,11,237.03504720600003
0xf7f2ac20c02d4b4fe702356b92baf65158a289b7,47,11,16,21,2023-04-30,2024-04-28,2734.0155081420003,11,248.54686437654547
0x833499c5a2799fd29d074797ec71995bac29b600,49,10,16,20,2023-04-30,2024-04-27,2312.3153856649997,10,231.23153856649998
0x5e28b209e2c81f48f153068a09ba08b8f2b88035,55,12,17,22,2023-04-30,2024-04-27,3027.566274842,12,252.29718957016667
0xdbc9cf98e71ec7b1e52addf759ae5e7955b41de4,48,11,18,21,2023-04-30,2024-04-28,2499.957246053,13,192.30440354253844
0x86c92ddff93d2be2e64df6d37f7b4fc0b86c47fe,64,11,18,22,2023-04-30,2024-04-27,2908.3314938,12,242.36095781666666
0x5fc81957adc77457e2f8601cf48b3c857bf0a3f7,52,10,17,17,2023-04-30,2024-04-27,3144.553286183,15,209.63688574553333
0x4c08f086962f78f05e83b02195afd2a973c89564,34,10,16,21,2023-04-30,2024-04-27,2593.864866131,12,216.15540551091667
0x936d69a4d961cf527f21afbd99ebc8426161cdd1,35,9,14,21,2023-04-30,2024-04-28,2621.451921641,11,238.3138110582727
0x17492d83a532231de34f6959b44781154e5e8825,68,11,19,17,2023-04-30,2024-04-28,3509.746135713,16,219.3591334820625
0x348d85596bbfbf59582e65681e7d8830fac8dda9,38,10,16,20,2023-04-30,2024-04-26,3214.187813644,14,229.5848438317143
0xbf027c8efce700130a39a6fb0e37c95a432f85f1,38,11,16,21,2023-04-30,2024-04-27,2666.175601903,12,222.18130015858333
0x27e04303531699223f9b46c147ea78e208debd83,62,10,17,25,2023-04-30,2024-04-27,2973.0984283579996,13,228.6998791044615
0x096caa205aee9afa238a2425f36dabe648a54b60,56,10,18,24,2023-04-30,2024-04-27,2953.011203241,14,210.92937166007144
0xe5727f9996ebfa6422d58f2d1697c5061082f6d2,65,12,18,20,2023-04-30,2024-04-26,2684.171156018,11,244.015559638
0x7bfbfe412ba518351a2188bdc017d8befcc26471,54,10,18,18,2023-04-30,2024-04-28,3681.0826703699995,17,216.53427472764702
0x5bc38fc6266016033d9386f02309a4ec8c351832,52,10,18,18,2023-04-30,2024-04-27,2810.0601041389996,12,234.17167534491662
0x8ea166cbde27f83eea7bf9c60517afb108fe1505,49,10,18,19,2023-04-30,2024-04-27,2756.410379798,12,229.70086498316667
