address,message_count,project_count,oaps_count,active_day_count,first_date,last_date,total_swapped_usd,swap_count,average_swapped_usd
0x1de063db6f0699f6c9713bd2e91f4cf33ff918bc,106,8,24,37,2023-06-28,2024-04-28,12315.951705586518,25,492.6380682234607
0x683f4b066406b05e29e21becbc3f57c268bfda05,108,8,25,36,2023-06-28,2024-04-20,32629.41946844319,34,959.688807895388
0x436737efec5dd164770e534f90870160e43d1bac,107,8,22,38,2023-06-28,2024-04-28,37781.98224187716,30,1259.3994080625719
0x65cfdc9039381b9cb339dea735a255f95a97ef8a,106,8,24,36,2023-06-28,2024-03-25,29103.712980426568,39,746.2490507801684
0xce4c37ba6648d149178e627d98f78b82fe83f419,99,8,23,39,2023-06-28,2024-03-25,40159.24969338235,39,1029.724351112368
0xe93400e49428bd23a25441ac410601929abf2513,112,8,24,38,2023-06-28,2024-04-28,16518.523685469823,36,458.84788015193953
0xb37646f10e699467a57f8d74ff97404cb176cc77,101,8,24,34,2023-06-28,2024-03-25,45237.0474479096,36,1256.5846513308222
0x75ff87efd353277b215eb7d658ceb211b3db07cb,106,8,23,35,2023-06-28,2024-04-28,39664.389898361114,37,1072.0105377935436
0x59ab2b380330bc50399109a5964e99703199cb80,102,8,22,35,2023-06-29,2024-03-18,44983.99011194435,36,1249.555280887343
0x24a5f603a6fd0871f6d422fb8a384f418ab74f08,103,7,21,33,2023-06-29,2024-03-26,35166.50669577059,33,1065.6517180536543
0xbe83c818806c2bba098fa911a55e922ea08f87cb,95,8,23,31,2023-06-29,2024-03-26,64794.213286351725,31,2090.135912462959
0x1f7f0c6657b311771451d8a131271b16076ff5ac,95,8,22,31,2023-06-29,2024-03-26,48895.76252998702,32,1527.9925790620944
0x97a900bdcad98a933061e9cc3acb0eb52001c40c,102,7,21,33,2023-06-29,2024-03-26,40463.835616278586,28,1445.1369862956637
0x5b3940557b29780e04e2c43d9827a665d136e610,104,8,23,33,2023-06-29,2024-03-25,34887.86773767204,45,775.2859497260453
0x2f03264be0d9368b8b77be9ec300b396d29807a7,97,8,22,31,2023-06-29,2024-03-26,40043.912404445575,28,1430.139728730199
0x491bb20c98329192921142311f777a2f7a7942bc,106,8,24,34,2023-06-29,2024-04-20,48705.14020208461,30,1623.5046734028203
0x5ffa628913023ea3f96902608c390e963ac5dc11,107,7,21,33,2023-06-29,2024-04-28,35237.59614290838,33,1067.8059437244965
0xbc80f6bc5fa911013ae57f62fc40c5ec2f64ea06,99,8,22,33,2023-06-29,2024-03-18,38441.38992249607,34,1130.6291153675315
0xd9f4a2e16287219bf6145c6bc9946d95c6278aad,100,7,21,34,2023-06-29,2024-04-28,25132.361682353952,32,785.386302573561
0x9d39918ccbc486e8ce0bd8f35f5869efe863dcd5,99,8,22,34,2023-07-01,2024-04-28,53368.53104508451,35,1524.8151727167003
0x82ba5328478f8cbfea8282048635c08c08f89b65,103,7,20,33,2023-07-01,2024-03-28,53726.55859678134,33,1628.0775332357982
0x00140d4f0edae7e4e24f9cb93ce377d38667af24,127,7,22,37,2023-07-01,2024-04-28,42170.83923324827,34,1240.3188009778903
0xe59be2e3547ee594bbe6810d4884ec638eaf24e4,107,8,24,36,2023-07-01,2024-03-27,51159.38540988109,34,1504.6878061729733
0x131b604efc7f8d92b425782f52d66815cd0fd1ae,105,7,21,37,2023-07-01,2024-03-27,52364.33160295513,31,1689.171987192101
0x755d9cd3eac909a112314d8679d88e97122649a0,98,7,21,29,2023-07-01,2024-03-25,66642.88466320006,31,2149.770473006454
0x1d73cf5a62e28435cd517b32bf2d1420b1a379ae,113,8,22,35,2023-07-01,2024-03-27,62936.72248981232,37,1700.9924997246571
