address,message_count,project_count,oaps_count,active_day_count,first_date,last_date,total_swapped_usd,swap_count,average_swapped_usd
0xb00ddf0f49e0583a8a03ad60a57833759d0fdf32,32,11,17,16,2023-04-30,2024-04-27,2545.287092567,11,231.38973568790908
0x1154857e04488cb93b4a5fbd2358e42720e6848e,35,10,17,20,2023-04-30,2024-04-28,2530.172284088,11,230.0156621898182
0x5b418531b076504a474ada705449ad5e1e2b18a5,35,11,16,19,2023-04-30,2024-04-27,2580.536443605,10,258.0536443605
0xf07153babb00aa76aecf854a23e099d53b41e019,36,10,18,21,2023-04-30,2024-04-26,2967.983005268,12,247.33191710566666
0x874637ad214f292f2ec75c972f41fdb28be7f57c,37,10,19,19,2023-04-30,2024-04-29,2930.42798387,12,244.20233198916665
0x3423b946499d6a0043020a3b34654ff60432e46a,36,10,16,19,2023-04-30,2024-04-26,2848.481205881,12,237.37343382341666
0xafc70687641938eb55056acdb402c045148f9116,39,11,19,19,2023-04-30,2024-04-27,3234.4783675510002,13,248.80602827315386
0x4455656921f4e5da8d8f3e734a7a3e56b4b038ac,34,10,18,17,2023-04-30,2024-04-25,2645.4216976949997,12,220.45180814124998
0xc319f5afb0482053668a7c39fc0812144e3e2dfa,37,11,17,19,2023-04-30,2024-04-26,3028.4203856460003,12,252.36836547050004
0x2db1b7c17f20c2cdaecb8a859f6f5196f55d67d7,35,10,16,19,2023-04-30,2024-04-28,2499.067742058,11,227.18797655072729
0x86ab6323974e7af451a8f71ac19374c4253faebf,38,11,18,20,2023-04-30,2024-04-27,2791.619669569,12,232.63497246408335
0xc9a0278bce45a8e42b42d52d9725fd314bffd415,35,10,19,20,2023-04-30,2024-04-28,2855.615520735,12,237.96796006124998
0x1a18ca9e92660478866c5a7d420ecb873ae076e1,34,11,16,17,2023-04-30,2024-04-27,2542.613856948,11,231.14671426799998
0x25bbf35b9ce0ac6caff4153193ab6e44875eca32,36,10,17,18,2023-04-30,2024-04-26,4448.120691578,13,342.16313012138465
0x26ef436510a3ec79e220e3c37b03efddf4569cfb,38,11,19,22,2023-04-30,2024-04-28,2642.0474533470006,12,220.17062111225005
0x450b14e19ed127135563b2437b081a5db527f15d,32,8,16,17,2023-04-30,2024-04-26,2546.894299009,11,231.53584536445453
0xdb6a3c240478930725115814c17f20123a6a818f,34,10,18,19,2023-04-30,2024-04-28,2489.096306226,10,248.9096306226
0x066a11eae801700ac23b50885d07861e47f3e04c,38,11,18,19,2023-04-30,2024-04-28,3292.3796950040005,14,235.16997821457147
0x21eb6e8c5ed2398f2fcb2b72f799306b9e5e5f79,37,11,18,19,2023-04-30,2024-04-27,2653.2251178330002,12,221.10209315275003
0x8b5c2f9ad0750674ecf8004a972658d4ba242d41,34,10,15,18,2023-04-30,2024-04-27,2794.184226762,11,254.01674788745456
0x9ff6ee50a836713fc5cb49412111da59724dc38a,34,10,17,17,2023-04-30,2024-04-27,2559.3965609690003,10,255.93965609690002
0xe4332ce89ffccfb2f6f13a5e3c5a4b2b0b870fc2,36,11,17,18,2023-04-30,2024-04-28,2898.093225044,11,263.4630204585455
0xcb79ee47a1ded8ec0d528f74c1638dd9c371d46c,37,10,17,19,2023-04-30,2024-04-26,2827.707376202,11,257.06430692745454
