address,message_count,project_count,oaps_count,active_day_count,first_date,last_date,total_swapped_usd,swap_count,average_swapped_usd
0xa9380b666997cab5817164c158e453cf96ef8d23,112,11,33,34,2023-05-16,2024-03-23,8758.945396662999,29,302.032599884931
0x90ecbfdaaa719ec189f6ab31aa7ff69633c4507d,110,11,33,31,2023-05-16,2024-03-21,7036.518551519,26,270.6353289045769
0x1eff01fa7e79529becde937bc9da479969b75d00,139,13,35,35,2023-05-16,2024-03-21,4179.3231064639995,26,160.7431964024615
0x6ac6d4d75da11229195342e4db462350cb4ff16c,136,12,36,38,2023-05-13,2024-03-21,6332.850577608002,35,180.9385879316572
0x8a544747b5654694bb46a1f9062f5416cf641f25,124,13,35,33,2023-05-16,2024-03-21,4620.091157437,21,220.00434083033335
0x0a0cb2346c3017bfe96534c697bd0041f7847fe3,104,11,32,34,2023-05-13,2024-03-19,5577.356075061998,19,293.5450565822104
0xe4062bc1669d14eb3108c067a6a506279debb922,111,13,35,33,2023-05-16,2024-03-21,6142.674396744001,24,255.94476653100003
0x9357665ce4aff0ea0ac5b2c68a732c29e7174cb5,104,14,42,38,2023-05-13,2024-04-16,9186.004760610998,23,399.391511330913
0xc172b052570c9bfb9f45265cd14c559de7bff7a0,183,14,49,54,2023-04-28,2024-04-11,10750.536413015401,35,307.15818322901146
0x2a2b7c13b0bec99a452668ee30ffebc76bedabae,118,16,40,36,2023-05-13,2024-04-16,4256.8760418113,22,193.49436553687727
